site	reviewer	Name of Site	dopsat amplitude	diel signal (y/n)	accept/reject/examine	Reasoning (ocean / estuary / spring / dam / other)	NOTES
nwis_04087030 	Emily S	MENOMONEE RIVER AT MENOMONEE FALLS, WI	95-140	Y	accept		
nwis_04087050 	Emily S	LITTLE MENOMONEE RIVER NEAR FREISTADT, WI	70-160	Y	accept		good flood recovery site 
nwis_04087088 	Emily S	UNDERWOOD CREEK AT WAUWATOSA, WI	50-250	Y	accept		really small events reset DO 
nwis_04087119 	Emily S	HONEY CREEK AT WAUWATOSA, WI	85-160	Y	accept		interesting flood recovery- Snow likes it 
nwis_04087120 	Emily S	MENOMONEE RIVER AT WAUWATOSA, WI	60-150	Y	accept		another good flood recovery site
nwis_04087142 	Emily S	MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI	80-120	Y	accept		errratic urban site
nwis_04101500 	Emily S	ST. JOSEPH RIVER AT NILES, MI	75-110	Y	accept		good seasonal signal 
nwis_04108660 	Emily S	KALAMAZOO RIVER AT NEW RICHMOND, MI	80-130	Y	accept		
nwis_04119400 	Emily S	GRAND RIVER NEAR EASTMANVILLE, MI	120-200	Y	accept		spikey, seasonal 
nwis_04121944 	Emily S	LITTLE MUSKEGON RIVER NEAR OAK GROVE, MI	90-140	Y	accept		nice seasonal system
nwis_04124000 	Emily S	MANISTEE RIVER NEAR SHERMAN, MI	90-110	Y	accept		
nwis_04125460 	Emily S	PINE RIVER AT HIGH SCHOOL BRIDGE NR HOXEYVILLE, MI	80-110	Y	accept		nice seasonality
nwis_04136900 	Emily S	AU SABLE RIVER NEAR MC KINLEY, MI	80-115	Y	accept		
nwis_04142000 	Emily S	RIFLE RIVER NEAR STERLING, MI	95-115	Y	accept		
nwis_041482663 	Emily S	ALGER CREEK AT HILL ROAD NEAR SWARTZ CREEK, MI	60-160	Y	accept		gap in Q record
nwis_04166500 	Emily S	RIVER ROUGE AT DETROIT, MI	90-130	Y	accept		urban- very erratic site; might have some challenges 
nwis_04176500 	Emily S	RIVER RAISIN NEAR MONROE, MI	80-150	Y	accept		
nwis_04195500 	Emily S	Portage River at Woodville OH	75-200	Y	accept		
nwis_04199500 	Emily S	Vermilion River near Vermilion OH	85-150	Y	accept		flashy farm stream; some data gaps for DO
nwis_04200500 	Emily S	Black River at Elyria OH	70-160	Y	accept		good flood response signal
nwis_04208000 	Emily S	Cuyahoga River at Independence OH	90-130	Y	accept		flashy urban
nwis_04213500 	Emily S	CATTARAUGUS CREEK AT GOWANDA NY	95-120	Y	accept		strong seasonality
nwis_05054000 	Dave	RED RIVER OF THE NORTH AT FARGO, ND	10	y	accept		
nwis_05057000 	Dave	SHEYENNE RIVER NR COOPERSTOWN, ND	7	y	accept		
nwis_05057200 	Dave	BALDHILL CREEK NR DAZEY, ND	40	y	accept		
nwis_05406457 	Dave	BLACK EARTH CREEK NR BREWERY RD AT CROSS PLAINS,WI	65	y	accept		
nwis_05406469 	Dave	BREWERY CREEK-UPSTREAM SITE-AT CROSS PLAINS, WI	90	y	accept		
nwis_05406479 	Dave	BLACK EARTH CK NR TREATMENT PLNT @ CROSS PLAINS,WI	35	y	accept		
nwis_05418400 	Dave	North Fork Maquoketa River near Fulton, IA	10	y	accept		
nwis_05435943 	Dave	BADGER MILL CREEK AT VERONA, WI	20-65	y	accept		
nwis_05435950 	Dave	SUGAR RIVER NEAR VERONA, WI	45	y	accept		
nwis_05451080 	Dave	South Fork Iowa River near Blairsburg, IA	5	y	accept		
nwis_05451210 	Dave	South Fork Iowa River NE of New Providence, IA	20-60	y	accept		
nwis_05515500 	Dave	KANKAKEE RIVER AT DAVIS, IN	8	y	accept		
nwis_05579630 	Dave	KICKAPOO CREEK NEAR BLOOMINGTON, IL	100	y	accept		
nwis_06336000 	Dave	LITTLE MISSOURI RIVER AT MEDORA, ND	15	y	accept		
nwis_06436760 	Dave	HORSE CR ABOVE VALE,SD	30	y	accept		
nwis_06461500 	Dave	Niobrara River near Sparks, Nebr.	25	y	accept		
nwis_06465500 	Dave	Niobrara River near Verdel, Nebr.	25	y	accept		
nwis_06601200 	Dave	Missouri River at Decatur, NE	8	y	accept		Only about 2 months of record in late 2007
nwis_06711565 	Dave	SOUTH PLATTE RIVER AT ENGLEWOOD, CO.	70	y	accept		
nwis_06795500 	Dave	Shell Creek near Columbus, Nebr.	4-40	y	accept		
nwis_06800500 	Dave	Elkhorn River at Waterloo, Nebr.	30	y	accept		
nwis_06892513 	Dave	MILL C AT JOHNSON DRIVE, SHAWNEE, KS	5	y	accept		
nwis_06893300 	Dave	INDIAN C AT OVERLAND PARK, KS	30	y	accept		
nwis_06893350 	Dave	TOMAHAWK C NR OVERLAND PARK, KS	40	y	accept		
nwis_06893620 	Dave	Rock Creek at Kentucky Road in Independence, MO	20	y	accept		
nwis_06893820 	Dave	Little Blue R. at Lees Summit Rd in Independence	50	y	accept		
nwis_06893970 	Dave	Spring Branch Ck at Holke Rd in Independence, MO	20-80	y	accept		
nwis_06894000 	Dave	Little Blue River near Lake City, MO	10-60	y	accept		
nwis_06934500 	Dave	Missouri River at Hermann, MO	10	y	accept		
nwis_07048600 	Natalie	White River near Fayetteville, AR	25	Y	accept		recovery response to storms
nwis_07056515 	Natalie	Bear Creek near Silver Hill, AR	50	Y	accept		recovery response to storms
nwis_07061270 	Natalie	East Fork Black River near Lesterville, MO	100	Y	accept		
nwis_07075250 	Natalie	S Fk Lit Red Riv us of Gulf Mt WMA nr Scotland, AR	70	Y	accept		
nwis_07106000 	Natalie	FOUNTAIN CREEK NEAR FOUNTAIN, CO.	30	Y	accept		diel signal in discharge (irrigation during summer?)
nwis_07109500 	Natalie	ARKANSAS RIVER NEAR AVONDALE, CO.	70	Y	accept		
nwis_07143672 	Natalie	L ARKANSAS R AT HWY 50 NR HALSTEAD, KS	100	Y	accept		
nwis_07144780 	Natalie	NF NINNESCAH R AB CHENEY RE, KS	110	Y	accept		recovery response to storms
nwis_07177500 	Natalie	Bird Creek near Sperry, OK	40	Y	accept		
nwis_07178200 	Natalie	Bird Ck at State Highway 266 near Catoosa, OK	40	Y	accept		
nwis_071912213 	Natalie	Spavinaw Creek near Colcord, OK	80	Y	accept		recovery response to storms
nwis_07191222 	Natalie	Beaty Creek near Jay, OK	80	Y	accept		upstream of dam
nwis_07332620 	Natalie	Bois D'Arc Ck at FM 1396 nr Honey Grove, TX	60	Y	accept		
nwis_08049500 	Natalie	W Fk Trinity Rv at Grand Prairie, TX	70	Y	accept		
nwis_08052700 	Natalie	Little Elm Ck nr Aubrey, TX	100	Y	accept		
nwis_08052745 	Natalie	Doe Br at US Hwy 380 nr Prosper, TX	45	Y	accept		diel DO signal but messy
nwis_08057000 	Natalie	Trinity Rv at Dallas, TX	15	Y	accept		diel DO signal but messy
nwis_08057410 	Natalie	Trinity Rv bl Dallas, TX	15	Y	accept		diel DO signal but messy
nwis_08062500 	Natalie	Trinity Rv nr Rosser, TX	40	Y	accept		
nwis_08065350 	Natalie	Trinity Rv nr Crockett, TX	50	Y	accept		
nwis_08068000 	Natalie	W Fk San Jacinto Rv nr Conroe, TX	130	Y	accept		
nwis_08068275 	Natalie	Spring Ck nr Tomball, TX	70	Y	accept		
nwis_08068400 	Natalie	Panther Br at Gosling Rd, The Woodlands, TX	90	Y	accept		
nwis_08068500 	Natalie	Spring Ck nr Spring, TX	180	Y	accept		
nwis_08070200 	Natalie	E Fk San Jacinto Rv nr New Caney, TX	80	Y	accept		
nwis_08171290 	Natalie	Blanco Rv at Halifax Rch nr Kyle, TX	70	Y	accept		
nwis_08180700 	Natalie	Medina Rv nr Macdona, TX	120	Y	accept		
nwis_08181500 	Natalie	Medina Rv at San Antonio, TX	60	Y	accept		
nwis_08181800 	Natalie	San Antonio Rv nr Elmendorf, TX	140	Y	accept		
nwis_08188060 	Emily S	San Antonio Rv at SH 72 nr Runge, TX	80-150	Yes 	accept		really nice flashy system record
nwis_08211200 	Emily S	Nueces Rv at Bluntzer, TX	70-110	Yes 	accept		note that there is an upstream dam, but some distance
nwis_08374550 	Emily S	Rio Grande nr Castolon, TX	90-110	Yes	accept		note gaps during flood/high flow periods
nwis_08375300 	Emily S	Rio Grande at Rio Grande Village, Big Bnd NP, TX	80-120	Yes	accept		some big floods
nwis_08437710 	Emily S	Pecos Rv at RR 1776 nr Grandfalls, TX	40-180	Yes	accept		
nwis_08446500 	Emily S	Pecos Rv nr Girvin, TX	0-300	Yes	accept		
nwis_08447300 	Emily S	Pecos Rv at Brotherton Rh nr Pandale, TX	80-125	Yes	accept		note increasing Q over time
nwis_09258980 	Emily S	MUDDY CREEK BELOW YOUNG DRAW, NEAR BAGGS, WY	50-200	Yes	accept		a lot of data gaps in DO record
nwis_09406000 	Emily S	VIRGIN RIVER AT VIRGIN, UT	90-115	Yes	accept		flashy
nwis_10129900 	Emily B	SILVER CREEK NEAR SILVER CREEK JUNCTION, UT	100	yes	accept		
nwis_10133650 	Emily B	E CANYON CR BL I-80 REST STOP NR PARK CITY, UT	70	yes	accept		
nwis_10133800 	Emily B	EAST CANYON CREEK NEAR JEREMY RANCH, UT	70	yes	accept		
