site_num	nhd_reach_code	nhdplus_id	lon	lat	usgs_c	usgs_f	usgs_num_points	jud_b	jud_f	jud_a	jud_c
7164500	11110101000054	368123	-96.006	36.141	0.168	0.39	39	0.11	0.45	95.901	0.343
7177500	11070107000007	847292	-95.954	36.278	0.433	0.41	56	0.17	0.41	12.669	0.264
7178200	11070107000001	847450	-95.819	36.223	0.704	0.37	47	0.18	0.45	12.489	0.208
71912213	11070209000161	21771121	-94.685	36.323	2.391	0.07	22	0.17	0.46	17.596	0.444
7191222	11070209000198	21770993	-94.776	36.355	1.925	0.09	28	0.20	0.48	11.595	0.352
7198000	11110103000005	402290	-95.069	35.573	2.068	0.12	29	0.13	0.50	36.024	0.273
7239450	11100301000027	391180	-98.065	35.617	1.730	0.18	39	0.14	0.41	58.503	0.966
7241000	11100301000005	393414	-97.663	35.479	1.988	0.20	20	0.14	0.41	61.041	1.071
7241520	11100302000069	414275	-97.367	35.566	2.691	0.12	47	0.14	0.40	55.251	0.783
7241550	11100302000671	414203	-97.194	35.500	1.199	0.23	22	0.15	0.44	53.976	0.725
7257500	11110202000023	7770981	-93.041	35.466	2.142	0.10	11	0.16	0.46	17.877	0.322
7261090	11110205000278	7817578	-92.630	35.271	1.591	0.11	11	0.21	0.49	8.666	0.338
7263296	11110207000049	22846155	-92.686	34.879	2.425	0.13	5	0.20	0.49	12.979	0.394
72632966	11110207007962	22848005	-92.654	34.875	-9999.000	-9999.00	0	0.22	0.54	13.218	0.351
7332620	11140101000134	8348635	-95.984	33.682	22.255	0.03	41	0.18	0.46	16.201	0.466
7332622	11140101000123	8348819	-95.961	33.744	3.870	0.12	42	0.17	0.46	17.508	0.464
8049500	12030102000010	1268400	-96.994	32.763	0.393	0.48	30	0.17	0.48	41.968	0.693
8052700	12030103000024	1278534	-96.893	33.283	2.307	0.16	47	0.20	0.50	11.327	0.580
8062500	12030105000035	1262531	-96.463	32.427	0.187	0.58	47	0.13	0.43	56.190	0.537
8065350	12030202001922	1484774	-95.656	31.339	0.547	0.42	34	0.13	0.42	68.992	0.502
8068000	12040101000021	1468280	-95.457	30.245	29.451	0.03	24	0.16	0.44	24.037	0.527
8068275	12040102000016	1508047	-95.646	30.120	43.211	0.01	30	0.17	0.45	14.823	0.535
8068400	12040102000069	1508301	-95.484	30.192	39.898	0.01	34	0.22	0.54	7.961	0.509
8068500	12040102000004	1508041	-95.436	30.110	21.583	0.04	17	0.19	0.50	17.974	0.460
8070200	12040103000383	1520083	-95.124	30.145	1.083	0.31	27	0.17	0.46	18.052	0.480
8171290	12100203000079	1629555	-97.953	30.006	0.369	0.28	11	0.18	0.41	10.537	0.351
